,AT1G06680,AT1G07590,AT1G08380,AT1G09340,AT1G11860,AT1G12900,AT1G15820,AT1G20340,AT1G21310,AT1G23310,AT1G28290,AT1G29910,AT1G29920,AT1G29930,AT1G30380,AT1G31330,AT1G32060,AT1G32450,AT1G42970,AT1G44575,AT1G54040,AT1G55670,AT1G60950,AT1G61520,AT1G66270,AT1G67090,AT1G67740,AT1G68010,AT1G70850,AT1G73330,AT1G74470,AT1G79040,AT2G01520,AT2G05070,AT2G08665,AT2G10940,AT2G13360,AT2G21330,AT2G30570,AT2G30860,AT2G34430,AT2G39730,AT2G45180,AT3G01500,AT3G08580,AT3G08940,AT3G09260,AT3G12780,AT3G14420,AT3G16400,AT3G16420,AT3G22121,AT3G26650,AT3G32980,AT3G41768,AT3G46780,AT3G47470,AT3G50820,AT3G52930,AT3G54890,AT3G55800,AT3G56940,AT3G61470,AT4G01150,AT4G02770,AT4G03280,AT4G04640,AT4G05180,AT4G09650,AT4G10340,AT4G11320,AT4G12800,AT4G13940,AT4G20360,AT4G21280,AT4G28750,AT4G30190,AT4G32260,AT4G33010,AT4G37410,AT4G37930,AT4G38970,AT5G01530,AT5G03240,AT5G04140,AT5G09660,AT5G13630,AT5G14740,AT5G17920,AT5G35630,AT5G38410,AT5G38420,AT5G38430,AT5G46110,AT5G53460,AT5G54270,AT5G54770,AT5G60390,AT5G64040,AT5G66570,condition,plant_part
Atha_Ws_root_GC_Rep1,1710.77876415421,55679.687794401,529.259999133945,481.652866130787,3618.74005110475,410.192147578483,1201.81791049962,692.44676463412,121933.274570732,2141.56050937576,36226.9026439136,1269.23636975783,63.0280549515229,6399.61083506963,556.301307370598,1193.9390628179,376.499727268851,27456.4306218009,997.277884786737,887.786370768631,124.164814942786,420.73828895482,1447.44176773915,759.375132291472,36995.6106901443,3380.33490802257,566.340303836211,326.586010867699,36843.7501766746,23696.4957865614,2309.00052213147,1076.78954420152,40953.5528018492,428.88573502413,3461.36970864614,51.7789112907296,574.550392439439,204.088561601515,580.178540494841,45018.14472046,18.383160069407,2042.44365952471,221.399323018745,50.6044101927961,65829.2745508394,276.67732835876,224219.309498495,3325.39777849501,193.247644730324,50114.0050760952,48149.9035568486,2455.18548382133,900.940589036974,34771.7454242163,406828.597845245,180.368564417115,1940.71574388069,492.848254006169,46786.4172444691,825.663406176717,276.673295524042,1439.27321636413,1138.94163412786,890.849467809342,724.723276927025,688.950931139906,1261.57121476709,342.212895609064,708.979554475059,1836.64575258145,24953.1005923714,607.160661553641,91075.8631387615,3004.03646063481,799.185922968231,279.049537710207,63203.3126784789,1137.83186146436,5625.73435087436,40093.6964306614,2839.57009006688,1323.07911152713,2069.5168858407,42518.3908370466,316.958961925529,87.4066909035009,3674.01448739111,26.8831891327657,112936.660576155,4657.71803679351,422.029834707573,95.3801222741713,88.4359883162016,1494.46525223096,48447.2009224377,920.865780207551,4175.30277364547,113495.068663034,597.365315343079,2362.90950461995,0,0
Atha_Ws_root_GC_Rep2,1738.30866492801,61171.3448203985,560.53089635824,521.82941623862,3554.49633021539,432.690271476787,1294.77479334878,692.034243495339,144570.110768526,2193.76865765056,33375.2647781631,1220.72641275552,95.3273469746392,6906.87399263601,527.77965710624,1136.08629783055,357.227367706583,25555.1797178202,864.688355145496,811.780344464611,142.086288987822,422.293181061741,1281.58408176956,781.10800020135,31853.6843395076,3625.22162952331,536.874528211917,345.737616283323,40128.0801824456,26224.9582222356,2049.13641501747,1050.12443779121,45224.3614675756,323.411206011887,2960.06489229993,62.8933300994663,572.475325719511,330.485514704418,604.707221991897,48509.6020570575,30.8672581002635,2074.80269424229,214.872574232673,89.6975563067322,62847.4874829237,293.864510452828,246578.906318707,3358.01175170245,244.797219336971,55983.6696459978,49550.0162137542,2572.12910209984,1009.09029445152,38844.3608045249,518408.088699819,220.51037790031,2002.37763574134,456.724434866583,44079.5480213712,795.289775578881,308.730293409013,1341.23000905627,1061.34998932615,890.234646830089,689.303604641427,647.862369217319,1076.89209165365,454.251555599563,701.262857889125,2073.28376214279,28525.9895432702,715.851932959903,94659.3697830013,2809.32373054526,805.967329125432,371.524308839944,61637.3084657785,1167.23891430026,5167.55431415357,44769.352227572,2792.35294766834,1268.94224671939,2147.00921874137,38822.0221018426,307.385233761708,82.1982116317209,3298.17302433716,45.6071368701588,107373.809945134,4251.23425244603,552.104965478721,117.257574924177,142.324566979664,1600.44883585714,46698.7948298311,909.864847410177,4122.3057515576,99355.1238151803,568.046589357434,2286.25223954953,0,0
Atha_Ws_root_GC_Rep3,1966.76439780125,58774.7047123381,646.311488344713,601.406198451133,3494.3209235522,509.949326643135,1352.43256328926,786.274922589277,127491.926266664,2304.61193351637,37393.4034900081,1089.59066823765,102.150169048174,7757.3370852206,597.615255035445,1290.35603692918,516.595547727399,30553.5011193533,1214.03384535942,982.821979107653,93.2161755784966,537.683232878112,1475.37804151934,781.168871313652,29387.0814914987,4753.12650635848,684.448464672356,474.4884810859,36292.5498494359,27452.8933025535,2313.6073472307,1180.26294317025,41805.1002663621,302.045354351326,2942.92967141199,61.4535633977192,685.714801954943,388.283719404578,739.074694954301,45277.8899378633,26.9673704674016,2889.42463340712,193.149902348372,100.128731437727,62295.5218619917,343.162417835209,222396.645912499,3551.78788966058,304.524291395473,49917.2529308674,46088.6918936245,3494.55196941446,1378.26639231253,38681.4381386733,891460.909706531,279.160427944283,2027.27720266068,556.550328800597,44294.4181801491,838.416567693349,398.579388981121,1597.21556070053,1393.93339883648,971.707565883982,913.420582700561,771.910291450607,1254.6995386245,488.717843465103,840.06264123122,2174.52263417528,26233.7169637021,767.644954064846,88241.6678553229,3068.68727185806,1003.92477853957,399.785041618678,57795.9659185598,1218.54743294704,5767.81964994635,41778.7107002392,3056.74453480395,1872.32689474617,2553.0978049343,41389.8938057397,502.023508927333,103.813838004202,3828.59655608689,36.1251286613645,109323.917130966,4652.79189949366,710.352359865812,111.601001584083,198.145128617728,1869.41300349643,48635.9215790823,933.6923308445,4759.87674671504,106641.665563262,622.971309119028,2640.90319618654,0,0
Atha_Ws_root_FLT_Rep1,146954.327558757,21147.7412155447,67028.001288172,77578.1499019987,61407.472943854,81418.1098594031,146936.831917863,123174.004012347,7248.30632833371,124751.422661937,8090.52729265208,235034.304279134,119404.673016093,542258.710665214,70568.3616074958,101458.877259456,64709.0442167408,2226.26313555342,149815.253788255,86134.3511344717,83616.1450363242,60368.7072175222,62574.8999822971,106288.117725723,35.6190280920846,727758.347215611,61532.6408581227,61510.7927698957,42.8834836441567,169.631669746492,59940.5521233435,94674.6867062439,51.5965549428164,80933.8167599049,301352.16313218,69786.2980102542,85316.8932391624,93280.272765984,68131.5242221924,35931.7372997173,25005.9364962735,692411.426552099,45462.0457213751,191679.318014863,48746.7641469002,52864.730913402,2138.79837581288,85168.5143500251,91781.5207315075,8068.17000139423,10570.9060532501,55374.4726631659,144780.328450126,160.617577402358,494450.597942558,47192.6051669637,238317.701801156,53784.9023510817,15924.7140434093,157996.772646302,58300.1244156938,83542.5449528538,132779.445989234,46948.2720449843,71975.5322005856,76389.5798500297,59228.5173499273,58592.282632148,45279.9590487498,220144.529071108,391.845567310188,109948.450274287,57846.7334140315,89382.1197061701,111623.763955224,67864.1017729413,12100.2379719038,45555.7678016545,154379.814222311,60.6208497772226,147099.098822024,218612.520314782,183693.439256939,11307.5837776187,100761.758937584,54160.5978975366,121013.022935426,70844.7073487923,96756.4348810768,129767.084431812,467812.68751836,238897.812007992,146686.792967514,50961.2564239879,17182.4675077412,134583.407050434,96411.1831764364,104937.855292825,70617.6342467543,176233.231275445,1,0
Atha_Ws_root_FLT_Rep2,142948.119801244,21986.8426669556,82330.1413046154,49581.2651234486,44663.5395583614,59513.5704943318,144069.318853505,120274.836625762,7417.12603564966,90512.4530003087,9367.85541710531,304844.629351518,129640.371554847,676479.379985309,75319.6696037387,100247.514203535,44654.4042392204,2227.85958563239,105972.380019163,58522.3428963469,67697.8048040564,62087.118350895,51664.3055609266,112175.527993102,20.2283426567599,590878.284283252,53891.9656741866,38701.0780204729,41.5141894869929,158.612389810333,50502.7166829517,108280.688089745,54.2330992406618,86768.8784568017,382861.445304035,60680.1686630222,60394.5564374125,61174.7964567691,73089.9993163095,36347.2798293281,63492.3826869074,430097.713730394,64749.8986532925,106651.348220254,42675.1770856184,56150.7960943176,2808.09418007095,61545.4233330082,62452.2357464906,9573.5791154064,11467.1911143193,65023.9581064135,101451.564752402,211.461077020192,426721.573651953,40435.9819501904,260245.220187328,42297.0284611817,15311.1613263363,183676.812179128,38201.1539755144,66974.776547998,139302.534789701,48233.1628705322,71972.9991137012,63137.5391243502,47178.6256614259,68606.9374274683,38814.9100327336,242100.528607106,389.511941566654,111601.207287087,57454.517951834,61841.8642136539,97976.8864250791,75265.2535440952,12034.3258914103,37995.8902260613,68176.1707061238,52.3153811013399,98821.4232101708,146932.84152266,180730.317189299,12256.2827538115,49619.2244112371,39680.9142641369,69986.8738702301,46497.0863558198,79797.897511676,94334.0792516241,354746.336565754,171995.707022034,109253.356905115,39738.2611332829,14934.5291423717,149496.602472744,84665.9042037056,98692.403785541,81139.5646688999,155579.667644859,1,0
Atha_Ws_root_FLT_Rep3,141653.811251605,22655.2837789839,82715.5904406282,49467.5393688359,46293.3332751637,59928.5490351404,138606.47486346,114866.749769342,6940.52950755978,90820.6792942667,8258.52212210166,269244.359115929,106008.537801356,666799.740999965,69261.7297670381,100052.732741049,49537.2258675521,3052.35261711549,111159.625262003,57136.5470741768,76893.0236812137,65229.3249997383,46376.0657186135,115317.564525615,21.525356839028,605017.973505594,53628.2292820623,37131.9969400179,46.9833718293807,294.696152531432,51857.026238401,98397.0014635686,58.9536227058885,82572.855743217,342767.80932122,60425.9978510203,70607.0920655662,55369.6520000589,69307.415511835,33419.3668944409,51685.1655823709,449988.366480467,66106.1343642574,113909.128911107,46246.310728821,51429.9023215829,2320.59535882229,68091.3673287032,65869.6485558107,7324.56428273968,8809.12204541376,60417.6522423914,97125.2026278679,159.779494626367,390331.210487843,42430.7574390309,234956.214784201,41980.4168220088,15877.4255126876,173598.894515226,40280.1263163394,66532.8691674344,137562.45907244,44104.9652730704,73384.7444934932,62694.2052831303,54423.8609622442,69186.0325675156,39974.2584928551,228099.383675574,614.102025600335,110678.352901364,58295.202720982,73387.4585939508,96974.2746479394,69162.6459992347,12704.9139276965,38937.0749117348,82554.2343733361,63.4550889316244,107245.300128176,147488.677067273,193126.520407989,15464.5802197646,58509.7482223333,42784.9805549723,70501.4865047979,43611.9400817788,94848.598323414,102768.617921926,365661.974304229,165527.44161699,120286.633640037,47355.4470076862,15229.4940052728,134981.012306672,129487.772114006,101612.361148628,66721.2575284148,167998.19569156,1,0
Atha_Ws_leaf_GC_Rep1,2538.22494400358,71754.5591414863,731.830354080204,672.078705571418,3701.70917804629,568.898609761928,1863.57521197938,1103.14887139838,131647.095768327,2601.89791880716,38521.1503692134,2349.69816709569,112.460443332038,11151.6408203964,755.652468751572,1688.89501600922,604.078106260451,39612.5510337633,1689.28895485345,988.731155120086,128.911791982318,721.113146810812,1772.60339409593,1196.85083266771,19896.3053927293,5651.95808180111,901.956171284957,468.772716006716,35196.3912074585,29993.7004074093,2956.9135140135,1421.46863928793,39278.7625489907,791.414078995333,6164.54480094878,60.066448851737,692.478589648135,593.608098051897,997.100668013956,51830.7066759399,44.7948121691955,3328.79374853889,313.024373567381,138.391512386219,56535.1224406074,531.228389517834,255399.934736372,3526.31115906997,331.687574092267,53835.1613473607,46661.4291828823,3064.38567858833,1727.35005902222,35718.1275490428,630182.891278743,223.833558899336,3054.40849911273,723.239722380508,38774.3203578625,1242.03883988339,406.225274851142,1965.84836046692,1899.08774911054,1178.42548724059,1078.36056423656,1039.53024533473,1561.12488721956,545.655588353974,896.407371743278,3256.30342969954,27238.6939383388,1081.61168130881,93318.5503045619,3096.89017408093,1247.40014964487,487.890370101349,57886.1304689493,1531.10646544913,4845.65908713167,38286.4853079142,3668.14778406562,2143.474529652,3263.64987521606,54254.3696869766,448.394100372236,95.130031697387,3381.01478986885,56.4901638299862,92017.3451666126,4332.42461709181,751.448640484518,201.896134819164,170.809259207755,2283.09584545805,43153.571630854,1688.73062911117,4031.28597901366,90358.4989521888,992.558142808658,3339.64881544463,0,1
Atha_Ws_leaf_GC_Rep2,3087.29905048186,61993.0951037622,1223.12778237837,735.477763099476,3654.96941154221,918.987476586022,2407.28731527949,1397.4601892025,125840.755628915,2584.84848944404,45718.8007098351,3601.64466875333,151.791166909902,17335.3175807169,888.836277405429,2144.66229258137,1026.22725149426,34138.3266990031,1812.72036615115,1412.69188541692,71.7194990228302,1097.62033294577,1816.71200553616,1544.51688456156,19378.8073053381,8091.06250558214,1097.60210421437,742.829687054696,43449.9658806223,41197.2344030052,3227.451063312,1866.5997949993,47048.627690545,1175.4305590191,8355.64043337623,65.2069888287696,856.876217659782,853.407290339672,1202.23558401726,45349.7611934006,27.0433333244941,4749.27088186177,313.422965569359,87.1898116500165,55897.9729660537,931.790966703929,268649.035416429,4341.38069888448,603.246215501198,63185.8799015929,51977.1784133007,7519.04041936171,2273.24431744899,35977.0148486321,356787.44585058,483.040136528095,4099.35032274866,873.218970119253,37206.2649058032,1639.89608194662,543.24363529319,2524.93148532846,3028.46393052873,1203.42986486733,1561.16303134971,1207.02460331385,1875.97058113855,793.353912068712,991.288994965467,4486.97744859488,30516.2432786207,1559.03093525182,83396.2656581168,3353.50008582922,1655.34590764858,745.3413475764,49209.1054543862,1779.39271995951,5701.26516454936,42067.6892900058,3810.87364818629,2929.07833535947,4288.93357694347,44304.713339785,623.747709278941,162.46273259389,4697.26635554715,46.2517888512142,98788.9093394603,4318.16127424163,1117.4442136791,133.59339838812,258.593756056947,3020.2730680036,44780.2997613614,2173.3040401757,5513.26441003537,96367.502517256,1196.21493860941,4297.98611781979,0,1
Atha_Ws_leaf_GC_Rep3,1664.17080549464,55185.7838114277,557.01194520806,522.72581120092,3626.3406497398,460.905012744724,1295.00500269595,761.712841113512,117355.471389978,2038.91241645239,34264.0082110769,1553.07778678573,98.9985612545115,7956.95281597019,484.240827010476,1180.87046156718,455.958781467443,30397.6539173692,1064.51190246247,666.65700274673,58.2451127480354,506.692087642708,1202.39611415035,863.554979347838,27630.1341099058,3628.37520250998,599.052980875635,339.356353608435,32395.9325812258,29031.3737436923,2006.68916500628,938.531457739685,37839.938934787,421.430567245014,3610.14303175185,30.4492519175527,390.26887016045,376.107704423337,654.735637491858,51154.0017895237,40.9191220767351,2125.56240023013,227.932960591463,60.3224588687126,63589.9357375862,414.327915430756,196453.803896599,3441.15333484474,225.189199838474,46535.2446073194,44626.8497636457,3067.57065794946,1170.71641549126,37509.8865672626,290246.091088513,210.79113713144,2107.20828458873,423.732611165584,45092.1268621583,805.483521038861,324.388870460904,1375.47592551022,1315.08951438085,855.156984343238,755.769787927532,665.994397591748,1090.30225799249,372.487664670071,720.220435273895,2222.06131033301,23785.9368315415,706.753417568915,94330.421551237,2691.78095177149,946.852403618657,355.655603053268,50164.4550881151,1204.10979773073,4634.60402120236,34157.1889322852,2856.37691628068,1232.91176284825,2408.93318432397,35150.5169979462,341.756090018053,83.7474162212577,2577.28477035946,32.7669771301219,105873.284726672,4281.18905610418,478.227814259594,109.319139495913,112.377684813849,1451.80433366824,43977.2035586805,1026.00910202952,3047.54844440172,108911.19019924,592.863712573139,2292.10276156543,0,1
Atha_Ws_leaf_FLT_Rep1,89439.2632910444,20555.5824571142,37069.8488823733,57116.8428093435,47107.9526502762,52820.5904486156,62629.598274443,104004.816386706,13843.1734447237,98821.9609635493,12593.1648526072,93172.3906800944,42169.3624791002,296314.565081198,48623.4207923159,48674.7512559242,51174.1558014147,1288.94460336142,132962.467927701,48121.3688353516,58602.9611331741,32493.2109908941,46411.2166433554,40100.8573215817,47.3226930531977,558414.571563164,36828.9849384936,35608.6521913309,71.2004947683619,273.049438206068,41254.9042895923,71392.4088490941,87.3431651586599,18593.2850947466,121847.596906205,54833.2689361077,58683.9877749011,57657.9540220162,45259.7164782267,42549.0403498276,15306.9443048565,447884.565759841,52245.1755798649,125786.569525447,50308.0219737542,26541.0235473098,4277.51887698036,67566.4982580729,69107.7707648517,10867.5302915432,14698.6658507947,65185.2457210746,115989.607689784,203.085096146998,410037.102416753,24271.5231232077,95758.9223306039,32993.5226844436,14598.0310505072,53131.6810955354,42005.9544247155,44176.4395749739,78608.7566815061,36718.9407466803,41442.445391445,62950.7224017115,45545.2638098793,36641.0290936673,32086.9686821788,126289.656120556,1536.44331051971,58644.0684356025,58167.453099499,59513.6034957485,81138.5638746181,36664.8740563816,13280.6827737041,36081.7825823609,69551.0827007607,93.4286583311988,97945.7287466287,147485.083422969,107972.735023902,19683.7568064815,46997.8022545363,37102.0673602363,39528.3282797075,49842.5729528262,70344.8525935917,91073.1237562325,341836.1451778,197844.088113839,111752.306480186,35288.3428518819,14492.4101963793,44691.1656518201,94433.4482566548,109082.010532536,48270.5284688668,105614.237808726,1,1
